"Code","Type","Category","Color","ENG","GER","ITA","JAP","SPA","FRE"
"c024","Minieuro","Era I","Red","Pay 3 Energy Points to Construct 1 Troop and/or 1 Golem.","Zahle 3 Energiepunkte um 1 Kämpfer und/oder 1 Golem zu erschaffen.","Paga 3 Punti Energia per Costruire 1 Truppa e/o 1 Golem. ","3エネルギーポイントを消費すると部隊1個とゴーレム1個の採用ができます。どちらかだけを採用しても問題ありません。","Paga 3 Puntos de Energía para Crear 1 Tropa y/o 1 Gólem.","Payez 3 points d’Énergie pour construire 1 Troupe et/ou 1 Golem."
"c025","Minieuro","Era I","Red","Pay 3 Energy Points to Deploy 1 Troop and/or 1 Golem.","Zahle 3 Energiepunkte um 1 Kämpfer und/oder 1 Golem einzusetzen.","Paga 3 Punti Energia per Schierare 1 Truppa e/o 1 Golem. ","3エネルギーポイントを消費すると部隊1個とゴーレム1個を配置することができます。どちらかだけを配置しても問題ありません。","Paga 3 Puntos de Energía para Desplegar 1 Tropa y/o 1 Gólem.","Payez 3 points d’Énergie pour déployer 1 Troupe et/ou 1 Golem."
"c026","Minieuro","Era I","Yellow","Pay 1 Energy Point to gain 3 Glory Points.","Zahle 1 Energiepunkt um 3 Ruhmespunkte zu erhalten.","Paga 1 Punto Energia per ottenere 3 Punti Gloria. ","1エネルギーポイントを消費すると3グローリーポイントが取得できます。","Paga 1 Punto de Energía para ganar 3 Puntos de Gloria.","Payez 1 point d’Énergie pour gagner 3 points de Gloire."
"c027","Minieuro","Era I","Yellow","Pay 1 Energy Point and remove from the game 1 Tactic Card from your hand to gain X Command Points and X Experience Points, where X is equal to the number of Command Points of the removed card.","Zahle 1 Energiepunkt und entferne 1 Taktikkarte aus deiner Hand aus dem Spiel, um X Befehls- und X Erfahrungspunkte zu erhalten. X ist die Anzahl der Befehlspunkte der entfernten Karte. ","Paga 1 Punto Energia e rimuovi dal gioco 1 Carta Tattica dalla tua mano per ottenere X Punti Comando e X Punti Esperienza, dove X è uguale al numero di Punti Comando sulla carta rimossa. ","1エネルギーポイントを消費して自分の手札から戦術のコマンドカードを1枚ゲーム削除すると、ⅩコマンドポイントとⅩ経験ポイントが取得できます。「Ⅹ」は削除した戦術のコマンドカード上のコマンドポイント数と同じです。","Paga 1 Punto de Energía y retira de la partida 1 Carta Táctica de tu mano para ganar X Puntos de Mando y X Puntos de Experiencia, siendo X el número de Puntos de Mando de la carta retirada.","Payez 1 point d’Énergie et retirez de la partie une carte Tactique de votre main pour gagner X points de Commandement et d’Expérience, où X est le nombre de points de Commandement de la carte retirée."
"c028","Minieuro","Era I","Yellow","Pay 2 Energy Points to gain 2 Glory Points for each of your Fortifications currently deployed.","Zahle 2 Energiepunkte um 2 Ruhmespunkte für jede Deiner Festungen auf dem Spielplan zu erhalten.","Paga 2 Punti Energia per ottenere 2 Punti Gloria per ognuna della tue Fortificazioni attualmente schierate.","2エネルギーポイントを消費すると現在配置されている自分のとりでごとに2グローリーポイントが取得できます。","Paga 2 Puntos de Energía para ganar 2 Puntos de Gloria por cada una de tus Fortificaciones desplegadas actualmente.","Payez 2 points d’Énergie pour gagner 2 points de Gloire pour chacune de vos Fortifications actuellement déployées."
"c029","Minieuro","Era I","Yellow","Pay 3 Energy Points to gain 1 Glory Point and 1 Energy Point for each of your Golems currently deployed.","Zahle 3 Energiepunkte um 1 Ruhmespunkt und 1 Energiepunkt für jeden Deiner Golems auf dem Spielplan zu erhalten.","Paga 3 Punti Energia per ottenere 1 Punto Gloria e 1 Punto Energia per ognuno dei tuoi Golem attualmente schierati. ","3エネルギーポイントを消費すると、現在配置されている自分のゴーレムごとに1グローリーポイントと1エネルギーポイントが取得できます。","Paga 3 Puntos de Energía para ganar 1 Punto de Gloria y 1 Punto de Energía por cada uno de tus Gólems desplegados actualmente.","Payez 3 points d’Énergie pour gagner 1 point de Gloire et 1 point d’Énergie pour chacun de vos Golems actuellement déployés."
"c030","Minieuro","Era I","Yellow","Pay 3 Energy Points to gain 3 Glory Points for each Encounter you faced.","Zahle 3 Energiepunkte um 3 Ruhmespunkte für jede Begegnung zu erhalten, die Du hattest.","Paga 3 Punti Energia per ottenere 3 Punti Gloria per ogni Incontro che hai affrontato. ","3エネルギーポイントを消費すると、今まで行ったエンカウンターごとに3グローリーポイントが取得できます。","Paga 3 Puntos de Energía para ganar 3 Puntos de Gloria por cada Encuentro que hayas afrontado.","Payez 3 points d’Énergie pour gagner 3 points de Gloire pour chaque Rencontre que vous avez affrontée."
"c031","Minieuro","Era I","Green","While this card is on your Player Board, once per turn you may pay 1 Energy Point to gain 2 Energy Points.","Befindet sich diese Karte auf dem Spielertableau kannst Du einmal pro Zug 1 Energiepunkt bezahlen um 2 Energiepunkte zu erhalten.","Mentre questa carta è sulla tua Plancia Giocatore, una volta per turno puoi pagare 1 Punto Energia per ottenere 2 Punti Energia. ","このアイテムを装備中に、1エネルギーポイントを消費すると2エネルギーポイントが取得できます。（手番ごとに1回のみ）","Mientras esta carta esté sobre tu Tablero de Jugador, una vez por turno puedes pagar 1 Punto de Energía para ganar 2 Puntos de Energía.","Tant que cette carte est sur votre tableau de bord, vous pouvez (1x par tour) payer 1 point d’Énergie pour gagner 2 points d’Énergie."
"c032","Minieuro","Era I","Green","While this card is on your Player Board, once per turn you may pay 1 Energy Point to Travel with your Champion to any region. The Champion cannot carry any other unit.","Befindet sich diese Karte auf dem Spielertableau kannst Du einmal pro Zug 1 Energiepunkt bezahlen um Deinen Helden in eine beliebige Region zu bewegen. Dein Held darf keine Einheiten transportieren.","Mentre questa carta è sulla tua Plancia Giocatore, una volta per turno puoi pagare 1 Punto Energia per Viaggiare col tuo Campione verso una regione qualsiasi. Il Campione non può portare con sé altre unità. ","このアイテムを装備中に、1エネルギーポイントを消費すると、自分のチャンピオンを任意のリージョンに移動できます。チャンピオンが他のユニットを連れていくことはできません。（手番ごとに1回のみ）","Mientras esta carta esté sobre tu Tablero de Jugador, una vez por turno puedes pagar 1 Punto de Energía para Viajar con tu Campeón a cualquier región. El Campeón no puede llevar con él a otra unidad.","Quand cette carte est sur votre tableau de bord, vous pouvez (1x par tour) payer 1 Énergie pour faire Voyager votre Champion vers n’importe quelle Région. Il ne peut pas emmener d’autres unités."
"c033","Minieuro","Era I","Green","While this card is on your Player Board, once per turn you may pay 1 Experience Point to gain 2 Glory Points.","Befindet sich diese Karte auf dem Spielertableau kannst Du einmal pro Zug 1  Erfahrungspunkt bezahlen um 2 Ruhmespunkte zu erhalten.","Mentre questa carta è sulla tua Plancia Giocatore, una volta per turno puoi pagare 1 Punto Esperienza per ottenere 2 Punti Gloria. ","このアイテムを装備中に、1経験ポイントを消費すると2グローリーポイントが取得できます。（手番ごとに1回のみ）","Mientras esta carta esté sobre tu Tablero de Jugador, una vez por turno puedes pagar 1 Punto de Experiencia para ganar 2 Puntos de Gloria.","Tant que cette carte est sur votre tableau de bord, vous pouvez (1x par tour) payer 1 point d’Expérience pour gagner 2 points de Gloire."
"c034","Minieuro","Era I","Green","While this card is on your Player Board, once per turn you may pay 1 Energy Point to Construct 1 Troop or Travel with 1 Troop.","Befindet sich diese Karte auf dem Spielertableau kannst Du einmal pro Zug 1 Energiepunkt bezahlen um 1 Kämpfer zu erschaffen oder zu bewegen.","Mentre questa carta è sulla tua Plancia Giocatore, una volta per turno puoi pagare 1 Punto Energia per Costruire 1 Truppa o Viaggiare con 1 Truppa. ","このアイテムを装備中に、1エネルギーポイントを消費すると部隊1個の採用か移動ができます。（手番ごとに1回のみ）","Mientras esta carta esté sobre tu Tablero de Jugador, una vez por turno puedes pagar 1 Punto de Energía para Crear 1 Tropa o Viajar con 1 Tropa.","Quand cette carte est sur votre tableau de bord, vous pouvez (1x par tour) payer 1 Énergie pour construire 1 Troupe ou faire Voyager 1 Troupe."
"c035","Minieuro","Era I","Green","While this card is on your Player Board, once per turn you may pay 1 Energy Point to Construct 1 Golem or Travel with 1 Golem.","Befindet sich diese Karte auf dem Spielertableau kannst Du  einmal pro Zug 1 Energiepunkt bezahlen um 1 Golem zu erschaffen oder zu bewegen.","Mentre questa carta è sulla tua Plancia Giocatore, una volta per turno puoi pagare 1 Punto Energia per Costruire 1 Golem o Viaggiare con 1 Golem. ","このアイテムを装備中に、1エネルギーポイントを消費するとゴーレム1個の採用か移動ができます。（手番ごとに1回のみ）","Mientras esta carta esté sobre tu Tablero de Jugador, una vez por turno puedes pagar 1 Punto de Energía para Crear 1 Gólem o Viajar con 1 Gólem.","Quand cette carte est sur votre tableau de bord, vous pouvez (1x par tour) payer 1 Énergie pour construire 1 Golem ou faire Voyager 1 Golem."
"c036","Minieuro","Era I","Blue","While this card is on your Player Board, whenever you Deploy a Fortification, you may gain 1 Experience Point.","Befindet sich diese Karte auf dem Spielertableau erhältst Du beim Einsetzen einer Festung 1 Erfahrungspunkt.","Mentre questa carta è sulla tua Plancia Giocatore, ogni volta che Schieri una Fortificazione, puoi ottenere 1 Punto Esperienza.  ","このアップグレードを装備中に、とりでを1個配置するたびに1経験ポインが取得できます。","Mientras esta carta esté sobre tu Tablero de Jugador, cuando Despliegues una Fortificación, puedes ganar 1 Punto de Experiencia.","Tant que cette carte est sur votre tableau de bord, chaque fois que vous déployez une Fortification, vous pouvez gagner 1 point d’Expérience."
"c037","Minieuro","Era I","Blue","While this card is on your Player Board, whenever you Deploy a Golem, you may gain 3 Glory Points.","Befindet sich diese Karte auf dem Spielertableau erhältst Du beim Einsetzen eines Golems 3 Ruhmespunkte.","Mentre questa carta è sulla tua Plancia Giocatore, ogni volta che Schieri un Golem, puoi ottenere 3 Punti Gloria. ","このアップグレードを装備中に、ゴーレムを1個配置するたびに3グローリーポイントが取得できます。","Mientras esta carta esté sobre tu Tablero de Jugador, cuando Despliegues un Gólem, puedes ganar 3 Puntos de Gloria.","Tant que cette carte est sur votre tableau de bord, chaque fois que vous déployez une Fortification, vous pouvez gagner 3 points de Gloire."
"c038","Minieuro","Era I","Blue","While this card is on your Player Board, whenever your Champion Travels, they may carry one of your units from the same region that has not yet traveled this turn. If your Champion Travels several times, they can carry a different unit each time.","Befindet sich diese Karte auf dem Spielertableau kann Dein Held bei Bewegung eine Einheit transportieren, die sich noch nicht bewegt hat. Falls er sich mehrfach bewegt, darf er jedes Mal eine andere Einheit transportieren.","Mentre questa carta è sulla tua Plancia Giocatore, ogni volta che il tuo Campione Viaggia, può portare con sé una delle tue unità della stessa regione che non abbia viaggiato in questo turno. Se il tuo Campione Viaggia più volte, può portare con sé un'unità diversa ogni volta. ","このアップグレードを装備中に、自分のチャンピオンが移動するたびに現在の手番中にまだ移動していない他のユニットを1個一緒に連れていくことができます。このユニットはチャンピオンと同じ移動元のリージョンに配置されている必要があります。チャンピオンが何回か移動する場合は毎回別のユニットを連れていくこともできます。","Mientras esta carta esté sobre tu Tablero de Jugador, cuando tu Campeón Viaje, puede llevar con él una de tus unidades de esa región que no haya viajado este turno. Si tu Campeón Viaja varias veces, puede llevar una unidad diferente cada vez.","Tant que cette carte est sur votre tableau de bord, chaque fois que votre Champion Voyage, il peut emmener avec lui une unité de la même Région qui n’a pas déja voyagéce tour-ci. Si votre Champion Voyage plusieurs fois, il peut emmener des unités différentes à chaque fois."
"c039","Minieuro","Era I","Blue","While this card is on your Player Board, whenever you Construct a Troop, you may Deploy it at no cost.","Befindet sich diese Karte auf dem Spielertableau kannst Du erschaffene Kämpfer kostenlos einsetzen.","Mentre questa carta è sulla tua Plancia Giocatore,ogni volta che Costruisci una Truppa, puoi Schierarla senza costi.  ","このアップグレードを装備中に、部隊を1個採用するたびにコスト無しですぐに配置することができます。","Mientras esta carta esté sobre tu Tablero de Jugador, cuando Crees una Tropa, puedes Desplegarla sin coste.","Tant que cette carte est sur votre tableau de bord, chaque fois que vous construisez une Troupe, vous pouvez la déployer gratuitement."
"c040","Minieuro","Era I","Blue","While this card is on your Player Board, whenever you play an Accessory Card, you do not have to spend Energy Points to place it.","Befindet sich diese Karte auf dem Spielertableau kannst Du gespielte Zusatzkarten ohne Energiepunkte platzieren.","Mentre questa carta è sulla tua Plancia Giocatore, ogni volta che giochi una Carta Accessorio, non devi spendere Punti Energia per posizionarla. ","このアップグレードを装備中に、アイテムのコマンドカードをプレイするたびにエネルギーポイントを消費しなくても装備できます。","Mientras esta carta esté sobre tu Tablero de Jugador, cuando juegues una Carta Accesoria, no tienes que gastar Puntos de Energía para colocarla.","Tant que cette carte est sur votre tableau de bord, chaque fois que vous jouez une carte Accessoire, vous n’avez pas besoin de dépenser d’Énergie pour la poser."
,,,,,,,,,
